language,sentence_id,surface,segmented,gloss,translation
lang1,165,"Hére ni Yúbuysuylu zómuru zómuru itrávimimi, ni zúra izárimimi hére kávuru idézimimi.","hére ni Yúbuysuy-lu zómuru zómuru i-trávimi-mi, ni zúra i-sárimi-mi hére kávuru i-dézimi-mi","when 1SG UBC-ILL hour hour INAN-travel-WIT, 1SG very INAN-struggle-WIT and coffee INAN-need-WIT","When I travel to UBC for hours, I struggle and need coffee."
lang1,166,"Héré ni tegee lómimimi, véreni nórulu izamimi.","héré ni te-ke-ERG i-lómamu-mi, véreni nórulu i-sami-mi","if 1PL.INCL-PL.SUBJ-ERG INAN-procrastinate-WIT, project late INAN-be-WIT","If we procrastinate, the project is late."
lang1,167,Múnarunu nie zánguruko géni pélanige ivérimami.,múnaru-nu ni-e zánguru-ko géni pélani-ko i-vérima-mi,observatory-INESS 1SG-ERG planet-DEF.NEAR INSTR telescope-DEF.NEAR INAN-see-WIT,"In the observatory, I see the planet with the telescope."
lang1,168,"Hére dórumadórumagoo tegee múnarulu bóromumu, dórumadórumagoo tegee áimi dóruva géni nérili fénara ugóruamugomo ivézimimi.","hére dóruma-dóruma-ko-o te-ke-ERG múnaru-lu bóromu-mi, dóruma-dóruma-ko-o te-ke-ERG áimi dóruva géni nérili fénara i-góruamu-ke-me i-vézimi-mi","when student-PL-DEF-ERG 3PL-PL.SUBJ-ERG observatory-ILL go-WIT, student-PL-DEF-ERG 3PL-PL.SUBJ-ERG AI program INSTR new algorithm INAN-create-FUT-DIR INAN-want-WIT","When the students go into the observatory, they want to create a new algorithm for the AI system."
lang1,169,"Héré xúbarugoo félirini fázumago ivérimami, zéreni nárumanárumagoo tegee nérili téreni ivézimigeme.","héré xúbaru-ko-o féliri-nu fázuma-ko i-vérima-mi, zéreni náruma-náruma-ko-o te-ke-ERG nérili téreni i-vézi-mi-ke-me","if satellite-DEF-ERG sky-INESS storm-DEF.NEAR INAN-see-WIT, many person-PL-DEF-ERG 3PL-PL.SUBJ-ERG new data INAN-want-WIT-FUT-INFER","If the satellite sees the storm in the sky, many people will want new data."
lang1,170,Nilu názirige márununu mánarumánaru unárumumu.,ni-li náziri-ko márunu-nu mánaru-mánaru i-nárumu-mi,1SG-POSS sister-DEF.NEAR market-INESS song-PL INAN-write-WIT,My sister writes songs in the market.
lang1,171,Kóvununu mázumugo aórumomu.,kóvunu-nu mázumu-ko a-órumo-mi,garden-INESS cat-DEF.NEAR ANIM-sleep-WIT,The cat sleeps in the garden.
lang1,172,Nie zéreniri kúrumuvórumanu téziri inizimimi.,ni-e    zéreniri  kúrumuvóruma-nu  téziri  i-nízimi-mi,1SG-ERG each      morning-INESS    tea     INAN-drink-WIT,I drink tea every morning.
lang1,173,Pírimi nárugulu izamimi.,pírimi   nárugu-lu    i-sami-mi,exam     difficult-ADJ.INAN  INAN-be-WIT,The exam is difficult.
lang1,174,"Dézari nárugulu izamimi, hére dórumadórumagoo tegee zéreniri dézaru uzólumumu.","dézari nárugu-lu i-sami-mi, hére dóruma-dóruma-ko-o te-ke zéreniri dézaru i-zólumu-mi",homework difficult-ADJ INAN-be-WIT  but   student-PL-DEF-ERG   PL.SUBJ-ERG each homework INAN-memorize-WIT,"The homework is difficult, but the students memorize everything."
lang1,175,"Hére ni dénimilu ubúlumumu, nie nili térami izéralimi.","hére ni dénimi-lu i-búlumu-mi, ni-e ni-li térami i-sérali-mi","when 1SG school-ILL INAN-walk-WIT, 1SG-ERG 1SG-POSS dream INAN-reflect-WIT","When I walk to school, I think about my dream."
lang1,176,Dórumago zéreniri sélimi dénimili ubúlumumu dézari idézimimi.,dóruma-ko zéreniri sélimi dénimi-lu i-búlumu-mi dézari i-dézimi-mi,student-DEF each day school-ILL INAN-walk-WIT homework INAN-need-WIT,The student who walks to school every day needs homework.
lang1,177,Kogo tímeli térami izamimi lú há!,ko-ko tíme-li térami i-sami-mi lú há,this-DEF.NEAR 2SG.FORMAL-POSS dream INAN-be-WIT [POLAR] MIR,Is this really your dream?!
lang1,178,Nie pánurunu párumu izérimimi.,nie pánuru-nu párumu i-zérimi-mi.,1SG.IMPERF.ERG library-INE mathematics INAN-study-EVID.DIR,I am studying mathematics in the library.
lang1,179,Nàao pórumugo avérimami.,nàa-o pórumu-ko a-vérima-mi.,1SG.PERF-ERG owl-DEF.NEAR ANIM-see-EVID.DIR,I saw the owl.
lang1,180,"Héré nú rómurunu fólumu igélimigeme, nie zúra férimala izamigeme.","héré nú rómuru-nu fólumu i-kélimi-go-mo, nie zúra férimala i-sami-ke-me.","COND 1SG.SBJV island-INE joy INAN-find-FUT-EVID.DIR, 1SG.IMPERF.ERG very happy-ADJ INAN-be-FUT-EVID.INFER","If I find joy on the island, I will be very happy."
lang1,181,Dúrumu rómurunu zo izamimi.,dúrumu rómuru-nu zo i-sami-mi.,wind island-INE 3SG.IMPERF INAN-be-EVID.DIR,The wind is always on the island.
lang1,182,"Hére nie párumu nàao izérimidérimimi, hére rómurulu núo bóromugome ivézimimi.","hére nie párumu nàa-o i-zérimi-dérimi-mi, hére rómuru-lu nú-o bóromu-go-me i-vézimi-mi.","when 1SG.IMPERF.ERG mathematics 1SG.PERF-ERG INAN-study-finish-EVID.DIR, when island-ILL 1SG.SBJV-ERG go-FUT-EVID.DIR INAN-want-EVID.DIR","When I finish studying mathematics, I want to go to the island."
lang1,183,Dórumago pánurululu izérimidérimimi.,dóruma-ko-o pánuru-li-li i-sérimi-dérimi-mi,student-DEF-ERG library-ELAT-ILL INAN-learn-finish-WIT,The student graduated from the library.
lang1,184,nilóradago nóduru ugázumudarumumu.,ni-lóra-ta-ko-o nóturu i-kázumudarumu-mi,1SG-hand-INALIEN-DEF-ERG notebook INAN-repair-finish-WIT,My hand cleaned the notebook.
lang1,185,Zúramáguzúrage tálimidérimili idálimidérimimi.,CL zúra-máguzúra-ke tálimidérimi-li i-tálimi-dérimi-mi,CL professor-DEF.NEAR speech-ELAT INAN-speak-finish-WIT,The Professor concludes his speech.
lang1,186,Dórumugo sánomu ivézimimi lú?,dórumu-ko sánomu i-vézimi-mi lú,child-DEF.NEAR snack INAN-want-WIT [POLAR],Does the child want the snack?
lang1,187,nie kávuru ulóradárumumu.,ni-e kávuru i-lóra-dárumu-mi,1SG-ERG coffee INAN-hand-chase-WIT,I reached for the coffee.
lang1,188,Dárumodórumago xóronunu izérimidérimimi.,dárumodóruma-ko xóronu-nu i-sérimidérimi-mi,hunter-DEF field-INESS INAN-learn-finish-WIT,The hunter mastered the field.
lang1,189,Dursluy mágizige dómuru ugázumumu.,Dursluy mágizi-ke dómuru i-kázumu-mi,Dursley Mrs.-DEF.NEAR house INAN-repair-WIT,Mrs. Dursley repaired the house.
lang1,190,Dóravago kómurudózumu idézimimi.,dórava-ko kómurudózumu i-dézimi-mi,system-DEF.NEAR technical.requirement INAN-need-WIT,The system has a technical requirement.
lang1,191,ni tegee mánaru idérimidérimimi há!,ni te-ke-ERG mánaru i-dérimi-dérimi-mi há,1PL.INCL PL.SUBJ-ERG song INAN-finish-finish-WIT MIR,We finished the song together!
lang1,192,Tamomúrudogo lúmuralu túrumu avérimami.,tíme-múru-te-ko-o lúmura-lu túrumu a-vérima-mi,2SG.FORMAL-eye-INALIEN-DEF-ERG beautiful-ADJ bird ANIM-see-WIT,Your eye saw the beautiful bird.
lang1,193,Dórumago nérilu mánaru uválumumu.,Dóruma-ko-o nérili-lu mánaru i-fálumu-mi,student-DEF-ERG new-ADJ song INAN-enjoy-WIT,The student likes the new song.
lang1,194,pánurunu límeri zúra lúmuralu izamimi.,pánuru-nu límeri zúra lúmura-lu i-sami-mi,library-INESS music very beautiful-ADJ INAN-be-WIT,The music in the library is very beautiful.
lang1,195,Nili názirige tálimima umánarumamu.,ni-li náziri-ke tálimima i-mánaruma-mi,1SG-POSS sister-DEF.NEAR lyric INAN-sing-WIT,My sister sings the lyrics.
lang1,196,zúragúrage dórumu pálumima abálumuzumimi.,zúra-gúra-ke dórumu pálumima a-pálumu-su-mi,teacher-DEF.NEAR child instrument ANIM-play-CAUS-WIT,The teacher made the child play the instrument.
lang1,197,kogo vózumu zúra lóruma izamimi.,ko-ko vózumu zúra lóruma i-sami-mi,this-DEF.NEAR introduction very long-ADJ INAN-be-WIT,This introduction is very long.
lang1,198,tímee tírimi kánaralu bóromu ivézimimi lú?,tíme-e tírimi kánara-lu bóromu i-vézimi-mi lú,2SG.FORMAL-ERG together karaoke-ILL go INAN-want-WIT [POLAR],Do you want to go to karaoke together?
lang1,199,férimili mánarugoo núma avérimalazimi.,férimili mánaru-ko-o núma a-férimala-su-mi,bright song-DEF-ERG family ANIM-happy-CAUS-WIT,The bright song makes the family happy.
lang1,200,Dárumodórumagoo túrumulu mánaru ibárimimi.,Dárumodóruma-ko-o túrumu-li mánaru i-bárimi-mi,hunter-DEF-ERG bird-POSS song INAN-hear-WIT,The hunter hears (reviews-finishes) the bird's song.
lang1,201,Nie kórumunu tálimima idólumumu.,ni-e kórumu-nu tálimima i-dólumu-mi,1SG-ERG classroom-INESS lyric INAN-forget-WIT,I forgot the lyrics in the classroom.
lang1,202,Zéreniri sélimi lámorudórumagoo périmima ugázumumu.,Zéreniri sélimi lámoru-dóruma-ko-o périmima i-kázumu-mi,Every day music-scholar-DEF-ERG instrument INAN-repair-WIT,Every day the musician fixes the instrument.
lang1,203,Pálumudórumagoo vórulunu vézi kílimiri arúzamumu.,pálumudóruma-ko-o vórulu-nu vézi kílimiri a-rúzamu-mi,athlete-DEF-ERG park-INESS ten kilometer ANIM-run-WIT,The athlete runs ten kilometers in the park.
lang1,204,nie fúramunu lámorudóruma mánaruma abárimimi.,ni-e fúramu-nu lámorudóruma mánaruma a-bárimi-mi,1SG-ERG race-INESS musician sing ANIM-hear-WIT,I hear the musician sing at the race.
lang1,205,dórumago pálumu ivézimimi lú?,dóruma-ko pálumu i-vézimi-mi lú,CL student-DEF.NEAR play INAN-want-WIT [POLAR],Does the student want to play?
lang1,206,Zérimidérimali pálumudórumagoo fúramulo túzuma idézimimi.,zérimidérimali pálumudóruma-ko-o fúramu-lo túzuma i-dézimi-mi,energy.finished-ADJ play-scholar-DEF-ERG race-ELAT water INAN-need-WIT,The tired athlete needs water after the race.’
lang1,207,Nilu gérige tórumobálurugo géni tórunu udórumumu.,Ni-li géri-ke tórumo-báluru-ko géni tórunu i-tórumo-mi,1SG-POSS friend-DEF.NEAR hit-stick-DEF INSTR target INAN-hit-WIT,My friend hit the target with the bat.
lang1,208,"héré pálumunárumago tórumo udórumugo, núma avérimigeme.","héré pálumunáruma-ko tórumo i-tórumo-ko, núma a-férimi-ge-me","if athlete-DEF.NEAR goal INAN-hit-FUT, family ANIM-celebrate-FUT-INFER","If the athlete wins, the family will celebrate."
lang1,209,Dárumodóruma hére lámoruzúradóruma tírimi abúramumu.,dárumo-dóruma hére lámoru-zúra-dóruma tírimi a-púramu-mi,hunter and musician together ANIM-compete-WIT,The hunter and the musician competed together.
lang1,210,Dórumugo kórumunu pálumunáruma avérimami.,dórumu-ko kórumu-nu pálumunáruma a-vérima-mi,child-DEF.NEAR classroom-INESS athlete ANIM-see-WIT,The child sees the athlete in the classroom.
lang1,211,Nie fúramuspáranu zórumalu tógoru udólumumu.,ni-e fúramu-spíra-nu zórumalu tógoru i-dólumu-mi,1SG-ERG race-room-INESS important tool INAN-forget-WIT,I forgot the important tool at the stadium.
lang1,212,Nie sélimini tóraluspáralu bóromu ivézimimi.,ni-e sélimi-nu tóralu-spíra-lu bóromu i-vézimi-mi,1SG-ERG day-INESS movie-room-ILL go INAN-want-WIT,I want to go to the movie theatre today.
lang1,213,Tóralunárumagoo lúmuralu lóruma idálimimi.,tóralu-náruma-ko-o lúmura-lu lóruma i-tálimi-mi,movie-person-DEF-ERG beautiful-ADJ language INAN-speak-WIT,The actor speaks a beautiful language.
lang1,214,Tímee nérili tóralugo uválumumu lú?,tíme-e nérili tóralu-ko i-fálumu-mi lú,2SG.FORMAL-ERG new-ADJ movie-DEF.NEAR INAN-enjoy-WIT Q.POLAR,Did you like that new movie?
lang1,215,Ni tegee tírimi máyspánomu azálumumu.,ni te-ke-e tírimi máys-pánomu a-zálumu-mi,1PL.INCL PL.SUBJ-ERG together corn-snack ANIM-eat-WIT,We are eating popcorn together.
lang1,216,Tóraluládamólurugo zúra lóruma hére nárugu izamimi.,tóralu-ládamóluru-ko zúra lóruma hére nárugu i-sami-mi,movie-book-DEF very long and difficult INAN-be-WIT,The script was very long and difficult.
lang1,217,Nie tóraluspíranu lúmuralu sórumu ivérimami.,ni-e tóralu-spíra-nu lúmura-lu sórumu i-vérima-mi,1SG-ERG movie-room-INESS beautiful-ADJ story INAN-see-WIT,I saw a beautiful story in the theatre.
lang1,218,Tóralugóruamago tóralunáruma abérimazimi.,tóralu-góruamu-ko tóralu-náruma a-périma-su-mi,movie-creator-DEF.NEAR movie-person ANIM-cry-CAUS-WIT,The director made the actor cry.
lang1,219,"Héré tóralugo górumu izamimi, dórumadórumagoo tegee ivérimigeme.",héré tóralu-ko górumu i-sami-mi dóruma-dóruma-ko-o te-ke-ERG i-férimi-ge-me,if movie-DEF.NEAR good INAN-be-WIT student-PL-DEF-ERG PL.SUBJ-ERG INAN-celebrate-FUT-INFER,"If the movie is good, the students will celebrate."
lang1,220,Bóħrunuvárimili tóralugo zúra lóruma izamimi.,bóħrunuvárumulu tóralu-ko zúra lóruma i-sami-mi,black-and-white movie-DEF.NEAR very old INAN-be-WIT,The black and white film is very old.
lang1,221,Lízireo kogo tóralunu tóralunáruma izamimi?,lízire-o ko-ko tóralu-nu tóralu-náruma i-sami-mi,who-ERG this-DEF.NEAR movie-INESS movie-person INAN-be-WIT,Who is the actor in this movie?
lang1,222,Tóralugo hérege uvózumumu.,tóralu-ko hére-ko i-vózumu-mi,movie-DEF.NEAR now-DEF.NEAR INAN-begin-WIT,The movie starts now.
lang1,223,Nie tóraluspáralu nili nóduru udólumumu.,ni-e tóralu-spíra-nu ni-li nóduru i-dólumu-mi,1SG-ERG movie-room-INESS 1SG-POSS notebook INAN-forget-WIT,I forgot my notebook in the theatre.
lang1,224,Tegee tóralunu sánomuzánomu idérimimi.,te-ke-e tóralu-nu sánomu-sánomu i-dérimi-mi,3PL.SUBJ-ERG movie-INESS snack-PL INAN-share-WIT,They are sharing snacks during the movie.
lang1,225,Tóralunu límerigoo ni avérimalazimi.,tóralu-nu límeri-ko-o ni a-férimala-su-mi,movie-INESS music-DEF-ERG 1SG ANIM-happy-CAUS-WIT,The music in the movie makes me happy.
lang1,226,Nie nérimili vérizima ilímirimi.,ni-e nérimili vérizima i-límiri-mi,1SG-ERG final-ADJ scene INAN-look.forward.to-WIT,I look forward to the final scene.
lang1,227,Máys lúmuralu kóvununu idárimimi.,máys lúmura-lu kóvunu-nu i-dárimi-mi,corn beautiful-ADJ garden-INESS INAN-grow-WIT,Corn grows beautifully in the garden.
lang1,228,Nie sélimini máys azálu	mumu ivézimimi.,ni-e sélimi-nu máyzu a-zálumu-mi i-vézimi-mi,1SG-ERG day-INESS corn ANIM-eat-WIT INAN-want-WIT,I want to eat corn today.
lang1,229,Máyskoo fázumulu zúra lúmuralu izamimi.,máys-ko-o fázumu-lu zúra lúmura-lu i-sami-mi,corn-DEF-ERG sun-ILL very beautiful-ADJ INAN-be-WIT,The corn looks very beautiful in the sun.
lang1,230,Dóramudóramugoo máysomáys uzálumumu.,dóramu-dóramu-ko-o máys-máys a-zálumu-mi,boy-PL-DEF-ERG corn-PL ANIM-eat-WIT,The boys are eating corn.
lang1,231,Kogo máyzu zúra sánomu górumu izamimi.,ko-ko máyzu zúra sánomu górumu i-sami-mi,this-DEF.NEAR corn very snack good INAN-be-WIT,This corn is a very good snack.
lang1,232,"Héré máysko fúdurulu idárimigeme, ni férimala izamigemi.",héré máys-ko fúduru-lu i-dárimi-ge-me ni férimala i-sami-ke-mi,if corn-DEF.NEAR quick-ADJ INAN-grow-FUT-INFER 1SG happy INAN-be-FUT-WIT,"If the corn grows quickly, I will be happy."
lang1,233,Máys hére máyspánomu tírimi zórazalu izamimi.,máys hére máys-pánomu tírimi zórazalu i-sami-mi,corn and popcorn also extraordinary INAN-be-WIT,Corn and popcorn are also extraordinary.
lang1,234,Nárumanárumagoo márununu máys igélimimi.,náruma-náruma-ko-o márunu-nu máys i-kélimi-mi,person-PL-DEF-ERG market-INESS corn INAN-find-WIT,People find corn in the market.
lang1,235,Nili gérie máys udórumozumu.,ni-li géri-e máys i-tórumo-su-mi,1SG-POSS friend-ERG corn INAN-give-CAUS-WIT,My friend provided the corn.
lang1,236,Kogo máys lízireo ugázumudarumumu?,ko-ko máys lízire-o i-kázumudarumu-mi,this-DEF.NEAR corn who-ERG INAN-clean-WIT,Who cleaned this corn?
lang1,237,Tímege máys uválumumu lú?,tíme-e máys i-fálumu-mi lú,2SG.FORMAL-ERG corn INAN-enjoy-WIT Q.POLAR,Do you like corn?
lang1,238,Máys xóronunu zéreniri vórumanu izamimi.,máys xóronu-nu zéreniri vóruma-nu i-sami-mi,corn field-INESS every spring-INESS INAN-be-WIT,Corn is in the field every spring.
lang1,239,Nie nérili máyssórumu unárumumu.,ni-e nérili máys-sórumu i-nárumu-mi,1SG-ERG new corn-story INAN-write-WIT,I am writing a new story about corn.
lang1,240,Túzuma máysnu zúra zórumalu izamimi.,túzuma máys-nu zúra zóruma-lu i-sami-mi,corn-INESS water very important-ADJ INAN-be-WIT,Water is very important for the corn.
lang1,241,"Hére ni nili súmuralu bóromumu, máys azálumugomo ivézimimi.",hére ni ni-li súmura-lu bóromu-mi máys a-zálumu-ke-me i-vézimi-mi,when 1SG 1SG-POSS home-ILL go-WIT corn ANIM-eat-FUT-DIR INAN-want-WIT,"When I go home, I want to eat corn."
lang1,242,ħárumushkoo ħòrogo imilinezeħrisli adárumumu.,ħárum-ko-o ħòro-ko i-miline-zeħris-lu a-dárumu-mi,hawk-DEF-ERG crow-DEF INAN-dark-mountain-ILL ANIM-chase-WIT,The hawk chased the crow into the cave.
lang1,243,"Élegoo ħórumu zárununu inémi avárumumu, hére ishíynimi.","éle-ko-o ħórumu zárunu-nu i-némi a-fárumu-mi, hére i-shíyni-mi","swan-DEF-ERG cold river-INESS INAN-float ANIM-can-WIT, while INAN-rain-WIT",The white swan is able to float on the cold river while it rains.
lang1,244,Nie ú pórumubórumu pánuruli spíranu ipúruma avérimami.,ni-e ú pórumu-pórumu pánuru-li spíra-nu i-púruma a-vérima-mi,1SG-ERG eight owl-PL library-ELAT dome-INESS INAN-hide ANIM-see-WIT,I saw eight owls hiding within the old library's dome.
lang1,245,"Héré píbibíbige sagúra kírimige igélimimi, dórumadórumagoo uvóruzagomo.","héré píbi-píbi-ko sagúra kírimi-ko i-kélimi-mi, dóruma-dóruma-ko-o i-vóruza-ge-me","if hummingbird-PL-DEF cherry flower-DEF INAN-find-WIT, student-PL-DEF-ERG INAN-surprised-FUT-INFER","If the hummingbirds find the cherry blossoms, the students will be surprised."
lang1,246,Zúradórumagoo idálimimi túrumulu félarida zúra lúmura hére zérimili izamimi.,zúradóruma-ko-o i-tálimi-mi túrumu-li félari-da zúra lúmura hére zérimi-lu i-sami-mi,scholar-DEF-ERG INAN-say-WIT bird-POSS wing-INALIEN very beautiful and energy-ADJ INAN-be-WIT,The scholar said that the bird's wings are very beautiful and strong.
lang1,247,Ħòrogo dórumu véri máyspánomu uzálumu ivézimimi lú?,ħòro-ko dórumu véri máys-pánomu i-zálumu i-vézimi-mi lú,crow-DEF child BEN popcorn INAN-eat INAN-want-WIT Q.POLAR,Does the hungry crow want to eat the popcorn together with the child?
lang1,248,"Dárumodórumago kóramudógorughóronu izérimidérimimi, hére zéreniri túrumulu mánaru ibárimimi.","dárumo-dóruma-ko kóramudógoru-xóronu i-sérimidérimi-mi, hére zéreniri túrumu-li mánaru i-bárimi-mi","hunter-DEF tree-field INAN-master-WIT, while each bird-POSS song INAN-hear-WIT",The hunter mastered the forest because he heard the song of every bird.
lang1,249,Nilu názirige éleli mìlimìli xálonu márugulu inémi avérimami.,ni-li náziri-ko éle-li mìli-mìli xálo-nu márugulu i-némi a-vérima-mi,1SG-POSS sister-DEF swan-POSS feather-PL gutter-INESS downward INAN-float ANIM-see-WIT,My sister saw the swan's feathers floating downward in the gutter.
lang1,250,"Hére mógo aórumomi, pórumugo félirina vérizi ubúruminu izéralimi.","hére mógo a-órumo-mi, pórumu-ko félirina vérizi i-púruminu i-sérali-mi","while world ANIM-sleep-WIT, owl-DEF star point.of.view INAN-secret INAN-reflect-WIT","While the world sleeps, the owl reflects on the mystery of the stars."
lang1,251,Máguzúrazóronaragoo lámorudórugo málalu ħárumushlu rélama unárumuzuzumu.,máguzúrazóronara-ko-o lámorudóru-ko mála-lu ħárum-li rélama i-nárumu-su-su-mi,emperor-DEF-ERG musician-DEF gold-ADJ hawk-ADJ-POSS poem INAN-write-CAUS-CAUS-WIT,The emperor made the musician write a poem about the golden hawk.
lang1,252,Ni tegee nérivárini túrumutúrumu Vánuguvalu amérimi ilímirimi.,ni te-ke-e nérivári-nu túrumu-túrumu Vánuguva-lu a-mérimi i-límiri-mi,1PL.INCL PL.SUBJ-ERG future-INESS bird-PL Vancouver-ILL ANIM-return/recover INAN-look.forward-WIT,We look forward to seeing the birds return to Vancouver in the future.
lang1,253,Kárinilizélirigee ħárumushko dómuru kárunulu ulózumu idárimizimi.,kárunulu-zéliri-ko-o ħárum-ko dómuru kárunu-lu i-lózumu i-dárimi-su-mi,stone-wind-DEF-ERG hawk-DEF house stone-ILL INAN-fly INAN-grow-CAUS-WIT,The heavy wind made the hawk fly high above the stone house.
lang1,254,"Xérali, ħòroko zúragúralu móluru upúruma ughórumunomu.","xérali, ħòro-ko zúragúra-li móluru i-púruma i-xórumu-no-mi","frankly, crow-DEF teacher-POSS dictionary INAN-hide INAN-believe-NEG-WIT","Frankly, I do not believe that the crow hid the teacher's dictionary."
lang1,255,Píbibíbige férila izamimi hérengére kúrumuvóruma aválama.,píbi-píbi-ko féri-la i-sami-mi hére-hére kúrumuvóruma i-fála-mi,hummingbird-PL-DEF excited-ADJ INAN-be-WIT because now spring-flower INAN-bloom-WIT,The hummingbirds are excited because the spring flowers are blooming now.
lang1,256,Líziree férimili élege donubánu spírani unázaluzo azérimizizimi?,lízire-o férimili éle-ko donubánu spíra-nu i-názaluzo a-sérimi-su-su-mi,who-ERG bright swan-DEF museum dome-INESS INAN-dance ANIM-learn-CAUS-CAUS-WIT,Who taught the bright swan to dance in the museum's dome?
lang1,257,"Perélege pélani lózumudázumumu, hére fázumugo uvóvumamu.",po-éle-ko pélani lózumu-dézimi-mi hére fázuma-ko i-vóvuma-mi,DUAL-swan-DEF far fly-MUST.DUAL-WIT before storm-DEF INAN-rise-WIT,The two swans must fly far before the storm rises.
lang1,258,"Nie pórumugo félirinani ivérimazimi, hére tege ħárumushko avérimami há!",ni-e pórumu-ko félirina-nu i-vérima-su-mi hére te-ke ħárum-ko a-vérima-mi há,1SG-ERG owl-DEF star-INESS INAN-look-CAUS-WIT but 3SG-ERG hawk-DEF ANIM-see-WIT MIR,"I made the owl look at the stars, but it saw the hawk, instead!"
lang1,259,Zúragúragoo dórumadórumago umúranu izérimizizimi píbili kórumunu.,zúragúra-ko-o dóruma-dóruma-ko i-múranu i-sérimi-su-su-mi píbi-li kórumu-nu,teacher-DEF-ERG student-PL-DEF INAN-life INAN-ensure-CAUS-CAUS-WIT hummingbird-POSS classroom-INESS,The teacher made the students ensure the hummingbird's life in the classroom.
lang1,260,Málalu ħárumushko pobórumu kóramudógoruxóronunu igélimi ivézimimi lú?,mála-lu ħárum-ko po-pórumu kóramudógoru-xóronu-nu i-kélimi i-vézimi-mi lú,gold-ADJ hawk-DEF DUAL-owl tree-field-INESS INAN-find INAN-want-WIT Q.POLAR,Does the golden hawk want to find the two owls in the forest?
lang1,261,"Ħòrolu mìlimìli shíynimige ugázumudarumumo, zúradóruma vérizili.",ħòro-li mìli-mìli shíynimi-ko i-kázumudarumu-me zúradóruma vérizi-li,crow-POSS feather-PL rain-DEF INAN-clean-INFER scholar point.of.view-ELAT,"The crow's feathers were cleaned by the rain, according to the scholar."
lang1,262,zéreniri nárumanárumagoo múranulu hére sólunulu vérizini umúranutórumumu.,zéreniri náruma-náruma-ko-o múranu-lu hére sóluna-lu vérizi-nu i-múranutórumu-mi,all person-PL-DEF-ERG free-ADJ and equal-ADJ manner-INESS INAN-born-WIT,All human beings are born free and equal in dignity and rights.
lang1,263,Tege zárumu hére gorumalughórumu udórumuzubumu.,te-ke zárumu hére gorumalu-xórumu i-tórumu-su-bi-mi,3PL.ERG wisdom and good-belief INAN-give-CAUS-BEN-WIT,They are endowed with reason and conscience.
lang1,264,Tege númagaru vérizini azhudórumu dézimi.,te-ke núma-géri vérizi-nu a-shi-tórumu dézimi,3PL.ERG family-friend manner-INESS ANIM-REC-give/act should,They should act towards one another in a spirit of brotherhood.
lang1,265,tóralugoo shúyalu réna górumano uvónamu.,tóralu-ko-e shúya réna górumano i-vóna-mi,movie-DEF-POSS nuanced rhythm despair INAN-evoke-WIT,The nuanced pacing of the film evokes a raw sense of despair.
lang1,266,"Kogono súzu kálala izamimi, sórumu múranuzómut udólumumu.","kogono súzu kálala i-sami-mi, sórumu múranuzómut i-dólumu-mi","although frame grand INAN-be-WIT, story heart INAN-lack-WIT","Although the frame composition was grand, the story lacked heart."
lang1,267,támodórumagoo tóralunárumagoo vóra zérimi zórazalu idémenimi.,téme-dóruma-ko-o tóralu-náruma-ko-e vóra zérimi zórazalu i-témeni-mi,judge-scholar-DEF-ERG actor-DEF-POSS raw energy extraordinary INAN-judge-WIT,The critic judged the actor's raw energy to be extraordinary.
lang1,268,glízagee ni nárugu sórumuváruzulu ilémarimimi.,glíza-ko-o ni nárugu sórumu-vérizi-li i-lémarimi-mi,shimmer-DEF-ERG 1SG difficult story.way-ELAT INAN-distract-WIT,The shimmer of the special effects distracted me from the difficult plot.
lang1,269,Vóra vózumugoo tánuru izérimimi.,vóra vózumu-ko-o tánuru i-sérimi-mi,raw introduction-DEF-ERG attention INAN-ensure-WIT,An unfiltered introduction ensures the audience stays focused.
lang1,270,Zaragálala zeħris vérizimagoo dórumadórumago avóruzamu.,zaragálala zeħris vérizima-ko-o dóruma-dóruma-ko a-vóruza-mi,epic mountain scene-DEF-ERG student-PL-DEF ANIM-surprise-WIT,The epic scale of the mountain scene surprised the students.
lang1,271,Tee tóraluládamóluru i-témemi héré tálimidérimi múranulu xéliri samine.,te-o tóralu-láda-móluru i-téme-mi héré tálimi-dérimi múranu-lu xéliri sami-ne,3SG-ERG script INAN-critique-WIT because speech life-ELAT true be-NEG,She critiques the script because the dialogue is not true to life.
lang1,272,Lámorudórumagoo shúya mánarugoo sélimili fólumu uvónamu.,lámoru-dóruma-ko-e shúya mánaru-ko-o sélimili fólumu i-vóna-mi,music-scholar-DEF-POSS nuanced song-DEF-ERG fated joy INAN-evoke-WIT,The musician's nuanced song evoked a fated joy.
lang1,273,Tóralugóruamagoo kála nérimi itéramadérimimi shúya vérami izérimili.,tóralu-góruamu-ko-o kála nérimi i-térama-dérimi-mi shúya vérami i-sérimi-li,movie-creator-DEF-ERG grand end INAN-sacrifice-WIT nuanced idea INAN-ensure-PURP,The director sacrificed a grand ending to ensure a subtle theme.
lang1,274,Dórumagee vóra táralizérimigoo mógogoo múranuzómut utórumomu.,dórumu-ko-e vóra tóralu-zérimi-ko-o mógo-ko-e múranuzómut i-tórumo-mi,child-DEF-POSS raw movie-energy-DEF-ERG world-DEF-POSS heart INAN-hit-WIT,The raw performance of the child hit the heart of the world.
