english,pos,proto_form,confidence,n_cognates,lang1,lang2,lang3,lang4,lang5,lang6,lang7
hand,NN,*lóra,high,6,lóra,úlóràdàrúmúmú,nĩ́lóràdàgo,Tùlóràdàgùùng,lóràdàtàgo,ulóradarumũmũ,lóròdòngò
to ache,VB,*kérimi,high,6,kérimi,tíírímí,kérímĩ́mĩ,tézímĩ́lí,qírimi,igérimĩmĩ,nẽ́rílí
to break,VB,*dórumodóruma,low,0,dórumodóruma,,,,,,
leg,NN,*néri,medium,3,néri,nérídì,,nẽ́rídì,,nẽ́ridedage,
heart,NN,*múranuzómut,high,5,múranuzómut,númúúrànúngómúttàgà,mṹṹrànṹzómṹt,,Numúrànungómudàgo,mṹranũzómũt,Nṹmṹṹrònṹngómṹdògù
to count,VB,*kérimi,medium,3,kérimi,,,íqgérímĩ́mĩ,,kélirinãvélirinã,ígérímĩ́mĩ
to possess/own,VB,*páruma,high,5,páruma,þàdórúmàmúúrú,lórúmãã,úbàrúmã̀mṹ,púda,ubarumãmũ,
shimmer,NN,*glíza,medium,3,glíza,,,,ngglíngàqgà,Þaglízamĩ,ngglííngègèèd
to glow,VB,*glizami,medium,2,glizami,,þàglízàmĩ,,ngglingàmi,,
to distract,VB,*lémarimi,high,5,lémarimi,ílémàrímímí,ílémã̀rímĩ́nẽ,,ilémàrimimi,i-lémãrimĩmĩ,ílémẽ̀rímĩ́mĩ
hunter,NN,*dárumodóruma,high,6,dárumodóruma,Þàdàrúmùdórúmàgùùg,Þàdàrúmõdrúmã̀go,Ðdàrúmũ̀dórúmã,Zdàrumodórumàgo,Þadarumõdórumãgo,Tórúmũ̀dórúmõ̀gòòg
fox,NN,*vúlumu,high,4,vúlumu,bbúúlúmúbúúlúmú,,bvúúlúmṹ,,tabúlumũ,vvúúlúmṹ
target,NN,*tórunu,high,5,tórunu,tórúnú,trúnṹdrúnṹ,tórúnṹ,tórunudórunu,,tórúnṹ
tongue,NN,*zálumadárama,low,0,zálumadárama,,,,,,
to find,VB,*kélimi,high,6,kélimi,íqgélímímí,ígélímĩ́mĩ,íqgélímĩ́zímĩ,iqgélimimi,igélimĩgemẽ,ígélímĩ́mĩ
to gift,VB,*tórumuzubimi,low,0,tórumuzubimi,,,,,,
caffeinated,JJ,*kávuruzúra,low,1,kávuruzúra,,,,,,kòvúrúngúúròngò
snacker,NN,*sánumunáru,medium,3,sánumunáru,hànùmúnàrú,sànṹmṹnã̀rúgo,,hànomunàru,,
tired,JJ,*zérimidérimali,medium,3,zérimidérimali,ngérímídérímàngérímídérímàlí,,,dngérimidérimàli,dzérimĩdérimãli,
professor,NN,*zúramáguzúra,medium,3,zúramáguzúra,ngúúràgúúràgà,,,dngúràmàgungúràngúràmàgungúra,,ngúúròmõ̀gúngúúrògòòg
teacher,NN,*zúragúra,high,6,zúragúra,ngúúràgúúràgà,tàzúúràgúúràlí,dzúúràgúúrã,dngúràgúràgo,dzúragúrago,ngúúrògúúrògòòg
nuisance,NN,*kérimoshtórumodóruma,low,1,kérimoshtórumodóruma,,,,qérimoshtórumodóruma,,
emperor,NNP,*Máguzúrazóronara,high,6,Máguzúrazóronara,Màgúngúúràngórùnàràgùùg,mã̀gúzúúràzóronã̀ràgook,Mã̀gúzúúràzórùnã̀ràgùùng,Màgungúràngóronàràgo,Mãguzúrazóronãrago,Mõ̀gúngúúròngórùnõ̀rògòòg
ice cream,NN,*súnaruzánomu,medium,2,súnaruzánomu,,,,,súnãruzanõmũlu,mṹṹrònṹngólúnṹ
stately,JJ,*máguzulu,low,1,máguzulu,,,,,mãguzulu,
animal,NN,*báruna,high,4,báruna,,,mṹṹrànṹbàrúmṹ,ngbàruna,þabarunã,ngbòrúnõ̀lú
dome,NN,*spíra,medium,2,spíra,,,spíírànṹ,,spíranĩ,
fish,NN,*nímera,medium,2,nímera,níímìràqgì,,pìnĩ́ĩ́mĩ̀ràqgà,,,
to fish,VB,*bílega,medium,2,bílega,þàbíílìqgàmí,,pìnĩ́ĩ́mĩ̀ràqgà,,,
red,JJ,*xáru,high,4,xáru,,xórúmõ,tànṹrú,,Xaru,xòrú
mathematician,NN,*kérimeshdérima,low,1,kérimeshdérima,,,,,,Kérímĩ̀shdérímõ̀gòòg
knowledge,NN,*sérimini,medium,3,sérimini,hérímíní,sérímĩ́nĩ,sérímĩ́nĩ,,,
scientist,NN,*sériminizéradarima,high,5,sériminizéradarima,hérímíníngéràdàrímàqgììd,,Sérímĩ́nĩ́zéràdàrímã̀qgììn,hériminingéràdàrimàqgà,sérimĩnĩzéradarimã,hérímĩ́nĩ́ngérèdèrímẽ̀ngè
to run,VB,*rúzamu,high,6,rúzamu,àrúúngàmúmú,àrúúzàmṹmṹ,àrúúzàmṹzúzúmṹ,àrúngàmungungumu,arúzumũzubumũ,rúúngòmṹmṹ
conscience,NN,*gorumaluxórumu,low,1,gorumaluxórumu,,,ðgùrúmã̀lúghórúmṹ,,,
kilometer,NN,*kílimiri,high,5,kílimiri,qíílímíríqgíílímírí,,kíílímĩ́rí,qílimiri,qílimĩri,qíílímĩ́rí
race,NN,*fúramu,high,5,fúramu,,fúúràmṹnṹ,fúúràmṹnṹ,fúràmuhpàrànu,fúramũnũ,fúúròmṹnṹ
binoculars,NN,*múrudógoru,low,1,múrudógoru,,,,,mṹrudógorugo,
to get married,VB,*númazamu,high,5,númazamu,ànúúmàngàmúgùmù,mã̀nã̀rúmã̀mṹ,mã̀nã̀rú,màyhpànomu,,ngbórùmṹ
month,NN,*sélimivári,low,1,sélimivári,hélímígàríní,,,,,
good,JJ,*górumalu,high,5,górumalu,þàdórúmàmúúrú,,ðgórúmṹ,nggórumàlu,þagórumãlu,nggórúmõ̀lú
best,RB,*górumu,low,1,górumu,,,,nggórumu,,
worst,RB,*mórumu,low,1,mórumu,,,,mórumu,,
age/era,NN,*vórunu,high,5,vórunu,tógùrúlú,lórúmã̀lú,lórúmã,lóruma,kavuru,
wisdom,NN,*zárumu,medium,3,zárumu,,,dzàrúmṹ,dngàrumu,dzarumũ,
blood,NN,*xárumútúzuma,low,0,xárumútúzuma,,,,,,
foolishness,NN,*bóruno,low,1,bóruno,,,,ngbóruno,,
belief,NN,*xórumu,low,1,xórumu,,,,xórumu,,
incredulity/disbelief,NN,*xórumuno,low,0,xórumuno,,,,,,
season,NN,*tóruvoru,medium,2,tóruvoru,,,,tóruvorulu,uvóruzamũ,
light,NN,*mili,medium,3,mili,,,mĩ́lí,mili,,mĩ́líqèèd
light,JJ,*milili,medium,3,milili,,,mĩ́lí,mili,,mĩ́líqèèd
darkness,NN,*miline,medium,3,miline,,,,miline,mĩlinẽzeħrisnĩ,mṹlúnũ̀ngólúnṹnṹ
hobby,NN,*fólumugóruama,low,1,fólumugóruama,,,fólúmṹzérímĩ,,,
path,NN,*láka,low,1,láka,,,,,lagã,
to hike,VB,*túra,medium,2,túra,,,,túra,udúramũ,
a hike,NN,*túramu,medium,2,túramu,,,,túra,túramũ,
easy/simple,JJ,*sélireli,low,1,sélireli,,,,hélireli,,
dark,JJ,*milineli,high,5,milineli,mílínìlí,mĩ́línẽlí,ímĩ́línĩ̀zìħríslí,,mĩlinẽzeħrisnĩ,mĩ́línĩ̀lí
hope,NN,*góruma,medium,2,góruma,,,,nggóruma,þagórumã,
winter,NN,*ħórumu-vóruma,high,4,ħórumu-vóruma,ħħórúmúvórúmànú,tàħórúmṹnṹ,tàħórúmṹvórúmã̀nṹ,,taħórumũvórumãnũ,
despair,NN,*górumano,medium,2,górumano,,,ðgórúmã̀nũ,nggórumàno,,
later,RB,*márali,low,1,márali,,,Mã̀ràlí,,,
beach,NN,*bárolu,medium,2,bárolu,,þàbàrolúlú,ðbàrùlúlú,,,
agent,NN,*dóranáruma,high,4,dóranáruma,þàdórànàrúmàgù,þàdrànã̀rúmãã,,ngdórànàruma,,ngdórònõ̀rúmõ̀lú
AI,NN,*áimi,low,0,áimi,,,,,,
idea,NN,*vérami,medium,3,vérami,,tàvéràmĩ́véràmĩ,tàgéràmĩ,,,vvérèmĩ
system,NN,*dórava,high,6,dórava,þàdóràvàgà,àímĩ́dràvãã,Ðdóràvàgù,ngdóràva,þadóravã,ngdóròvòngò
evolution,NN,*vóramu,medium,2,vóramu,,,,bvóràmu,bvóramũ,
readme,NN,*dézielirízimini,low,0,dézielirízimini,,,,,,
automation,NN,*tóravimi,low,1,tóravimi,,,,tóràgimili,,
training,NN,*séravimi,medium,2,séravimi,,séràvímĩ́lí,,,,hérèvímĩ
to evoke/to awaken,VB,*vóna,high,5,vóna,úvónàmú,tàvónã̀mṹ,,uvónàmu,uvónãmũ,úvónõ̀mṹ
mist,NN,*shíynimi,high,4,shíynimi,shííynímílí,,shííynĩ́mĩ́lí,,shíynĩmĩli,shííynĩ́mĩ́lú
mouth,NN,*vérizi,low,0,vérizi,,,,,,
morning,NN,*kúrumuvóruma,high,4,kúrumuvóruma,Kúúrúmúvórúmànú,,kúúrúmṹvórúmã,Kúrumuvórumànu,kúrumũvórumãnũ,
fist,NN,*tárumu,low,0,tárumu,,,,,,
to raise,VB,*páruma,low,0,páruma,,,,,,
hell,NN,*mózulu,low,0,mózulu,,,,,,
rock,NN,*kárunu,medium,2,kárunu,,,,Kàrunugo,,kòrúnṹgòrúnṹ
to roll/float,VB,*némi,high,4,némi,némímí,ínẽ́mĩ,nẽ́mĩ́mĩ,inémimi,,
to crash,VB,*dúramu,medium,2,dúramu,,údúúràmṹzúnõ,,udúràmumu,,
downward,RB,*márugulu,medium,2,márugulu,,mã̀rúgúlú,,màrugulu,,
baboon,NN,*babún,high,4,babún,þàbàbúúnúshbàbúúnúshgùùg,þàbàbúúnṹshbàbúúnṹshkook,,ngbàvúnàgo,,ngbòvúúnṹshmṹṹrúnṹ
bread,NN,*bádu,medium,2,bádu,,þàbàdú,,,þabadu,
house,NN,*dómuru,high,6,dómuru,þàdómúrú,Þàdómṹrúgo,ðdómṹrú,ngdómurunu,þadómũrunũ,ngdómṹrúnṹ
to lose,VB,*dólumu,medium,3,dólumu,údólúmúmú,údólúmṹnõ,údólúmṹmṹ,,,
fen/marsh,NN,*shúynuxóronu,low,0,shúynuxóronu,,,,,,
marshy,JJ,*shúynughóronulu,low,0,shúynughóronulu,,,,,,
magic,NN,*véramizérimi,low,0,véramizérimi,,,,,,
long ago,RB,*lóruma,high,5,lóruma,lórúmàgà,lórúmã̀mṹ,lórúmã,Lóruma,,lórúmõ̀lórúmõ̀ngò
wind,NN,*zéliri,medium,3,zéliri,bbúúrú,,Ðdúúrúmṹ,dngéliriqge,,
cloud,NN,*nórumu,medium,2,nórumu,nórúmúnórúmú,,nṍrúmṹnṍrúmṹ,,,
park,NN,*vórulu,high,5,vórulu,,tàvórúlúnṹ,bvórúlúnṹ,bvórulunu,bvórulunũ,vvórúlúnṹ
star,NN,*félirina,high,6,félirina,Fàlúrúnàdórúmàgùùg,félírínã̀félírínãã,félírúnã̀gélírínã,Fàlurunàdórumàgo,falurunãdórumã,kélírínĩ
to sing,"(ie, that which produces a song)",*mánaruma,high,6,mánaruma,àmànàrúmàngúbúmú,úmã̀nã̀rúmã̀mṹ,mã̀nã̀rúmã,imànàrumàgomo,mãnãrumãmã,úmõ̀nõ̀rúmõ̀mṹ
sun,NN,*fázumu,high,6,fázumu,fàhúmúgù,fàsúmṹgo,fàzúmṹlú,fàngumulu,fazumũgo,fòngúmṹlú
to eat,VB,*zálumu,high,6,zálumu,àngàlúmúmú,úzàlúmṹmṹ,àzàlúmṹmṹ,ungàlumu,azalumũzumũ,òngòlúmṹmṹ
food,NN,*záluma,medium,3,záluma,,tàzàlúmã̀nṹ,,dngàluma,dzalumã,
satiated,NN,*zálumazúra,low,1,zálumazúra,,tàzàlúmã̀zúúràllú,,,,
water,NN,*túzuma,high,4,túzuma,,mã̀ysnṹ,túúzúmã,túnguma,túzumã,
night,NN,*mulunozólunu,medium,2,mulunozólunu,múlúnùngólúnúnú,,,,,mṹlúnũ̀ngólúnṹnṹ
moon,NN,*lánumu,high,4,lánumu,lànúmú,lànṹmṹgo,,lànumugo,,lònṹmṹgù
lunch,NN,*zálumuzólunu,medium,3,zálumuzólunu,,tàzàlúmṹzólúnṹgo,dzàlúmṹzólúnṹ,,dzalumũzólunũ,
top secret,JJ,*mágupúrumanulu,high,4,mágupúrumanulu,nàrúmànàrúmàlú,,,kórumunu,súmũrunũ,úkòngúmṹmṹlú
to rise,VB,*vóvuma,high,6,vóvuma,úvóvúmàmú,úvóvúmã̀mṹ,úvórúzàgùmũ,àvórungàmu,uvóvumãmũ,úvóvúmõ̀mṹ
tomorrow,RB,*vóruna,low,1,vóruna,,tàvórúnãã,,,,
who,WH,*lízire,high,6,lízire,llímíréngàmí,Líízíreo,Líízírìù,língireo,Lízireo,Lííngírìù
present/gift,NN,*póruma,low,1,póruma,,,,póruma,,
personal time,NN,*múranuzólunu,medium,3,múranuzólunu,,tàzàlúmṹzólúnṹgo,Mã̀gúzúúràzórùnã̀ràgùùng,,,mṹṹrònṹngólúnṹ
to sacrifice,VB,*téramadérimi,medium,2,téramadérimi,,,ítéràmã̀dérímĩ́mĩ,,,údéròmõ̀dérímĩ́mĩ
unique/extraordinary,JJ,*zórazalu,high,4,zórazalu,ngóràngàlú,tàzórúzílú,,dngóràngàlu,dzórazalu,
riverbank,NN,*zárunubárolu,medium,2,zárunubárolu,,,,dngàrunubàrolulu,dzarunũbarolunũ,
everything,NN,*mógospórumu,medium,3,mógospórumu,úngólúmúmú,,Mṍgùspórúmṹ,,,Mṍgùhpórúmṹ
empty,JJ,*sám,medium,3,sám,,,,hàm,sam,Sèm
book,NN,*ládamóluru,high,5,ládamóluru,mólúrú,nĩ́lóràdàgo,,mólurumóluru,mṍlurumṍluru,údólúmṹmṹ
garden,NN,*kóvunu,high,6,kóvunu,kóvúnúnú,kóvúnṹnṹ,kóvúnṹnṹ,kóvununu,kóvunũnũ,Kóvúnṹnṹ
although,SCONJ,*kogono,medium,3,kogono,,Kogonõ,Kùgùnũ,,Kogonõ,
otherwise,RB,*kogonováruzulu,high,4,kogonováruzulu,kùgùnùvàrúngúlú,,,Kogonovàrungulu,Kogonõvaruzulu,Kùgùnũ̀vòrúngúlú
lizard,NN,*polunámora,medium,2,polunámora,,,pùlúnã̀mũ̀rã,,polunãmõrago,
to walk,VB,*búlumu,high,4,búlumu,,àbúúlúmṹ,,àvúlumumu,abúlumũmũ,òvúúlúmṹmṹ
statistics,NN,*stádira,high,4,stádira,htàdúràdórúmàgà,stàdírãã,,htàduràdóruma,,Stèdírèngè
inference,NN,*ínfereni,low,1,ínfereni,,íínferenĩ,,,,
strip/slice,NN,*réza,low,0,réza,,,,,,
alternative,NN,*nérili,low,1,nérili,,nẽ́rílíverízí,,,,
hypothesis,NN,*verizi,low,1,verizi,,nẽ́rílíverízí,,,,
null,JJ,*lízéra,low,1,lízéra,,líízéràverízí,,,,
name,NN,*zida,low,0,zida,,,,,,
zero,CARD,*lízéra,low,1,lízéra,,,,,lízérã,
transformer,NN,*tránzuru,low,1,tránzuru,,trànzúrú,,,,
to relate,VB,*vérimi,low,0,vérimi,,,,,,
attention,NN,*tánuru,low,1,tánuru,,,tànṹrú,,,
UBC,NNP,*Yúbuysuy,low,1,Yúbuysuy,,,Yúúbúysúylú,,,
to travel,VB,*trávimi,high,4,trávimi,tràgímímí,,tràgímĩ,itràgimimi,Travumũdógoru,
to struggle/to fight,VB,*sárimi,medium,2,sárimi,ngérímíngàrímí,,,,izarimĩmĩ,
to procrastinate,VB,*lómamu,medium,3,lómamu,úlómàmúmú,,,,ulómãmũnõ,lómĩ́mĩ́mĩ
late,JJ,*nórulu,high,5,nórulu,nérílí,ígérímĩ́lí,kérídàrímĩ,,nẽ́rimĩli,nṍrúlú
observatory,NN,*múnaru,medium,3,múnaru,Múúnàrúnú,mṹṹnã̀rúnṹ,Mṹṹnã̀rúnṹ,,,
planet,NN,*zánguru,high,5,zánguru,,tàzàngúrúgo,dzàngúrúnṹ,dngàngurumúrunu,dzanguru,ngòngúrú
telescope,NN,*pélani,high,4,pélani,,pélànĩ,pélànĩ,pélàniqge,pélanĩgénĩ,
algorithm,NN,*fénara,medium,3,fénara,kénàràqngà,,fénã̀ràqgà,,Fénãrã,
satellite,NN,*xúbaru,high,4,xúbaru,,xúúbàrú,xúúbàrúgùùng,,xúbaru,xúúbòrú
storm,NN,*fázuma,high,5,fázuma,fàngúmúgù,fàzúmã̀go,fàzúmã̀gù,fàngumàlu,fazumãgo,
sister,NN,*náziri,high,5,náziri,nàngíríqgì,nã̀zíríge,nã̀zírí,Nàngiriqge,,Nĩ́ĩ
to write,NN,*nárumu,high,6,nárumu,únàrúmúmú,únã̀rúmṹmṹ,únã̀rúmṹmṹ,unàrumumu,unãrumũmũlu,únõ̀rúmṹmṹ
sin,NN,*mózuma,high,6,mózuma,Móngúmànàrúmàgà,tàzàlúmãã,mã̀nã̀rúmã,mànàrudóruma,mãnãrumãmã,mõ̀nõ̀rú
exam/quiz/test,NN,*pírimi,high,4,pírimi,,píírímĩ,ízàmĩ́mĩ,,igérimĩmĩ,Píírímĩ
nuanced,JJ,*shúyalu,high,5,shúyalu,shúúyàgà,,shúúyàlú,shúyàlu,Shúyã,Shúúyòlú
hard/difficult,JJ,*nárugu,high,6,nárugu,nàrúgú,nã̀rúgúlú,nã̀rúgú,nàrugu,nãrugu,nõ̀rúgúlú
snake,NN,*shissíra,low,0,shissíra,,,,,,
homework,NN,*dézari,high,5,dézari,þàdéngàrí,þàdézàrí,,ngdéngàrili,þadézari,hérì
to memorize,VB,*zólumu,medium,3,zólumu,úngólúmúmú,,,ungólumungungumu,,úngólúmṹngúngúmṹ
to dream,VB,*térami,medium,3,térami,,nẽ́rílí,téràmĩ,,téramĩ,
mathematics,NN,*párumu,medium,2,párumu,,pàrúmṹ,,,,pòrúmṹ
to cultivate,VB,*cultivate,low,1,cultivate,,,,,ubúmãmũ,
owl,NN,*pórumu,high,4,pórumu,,pobórúmṹ,pórúmṹbórúmṹ,Pórumubórumu,pórumũgo,
island,NN,*rómuru,high,5,rómuru,rómúrúnú,rómṹrúlú,rómṹrúnṹ,,rómũrunũ,rómṹrú-nṹ
kitchen,NN,*fízani,high,4,fízani,kííngàníní,fíízànĩ,fíízànĩ́nĩ,,kízanĩ,
photograph,NN,*múrazama,medium,3,múrazama,,,úmṹṹràzàmṹgùmũ,múràngàma,,mṹṹròngòmõ̀nṹ
to take a picture,VB,*múrazamu,low,1,múrazamu,,,,,mṹranũzalumã,
joy,NN,*fólumu,high,6,fólumu,fólúmú,fólúmṹ,fólúmṹzérímĩ,fólumu,fólumũ,úfòlúmṹmṹ
rhythm,NN,*réna,medium,3,réna,,rénãã,,rénàqgà,rénã,
great/grand,JJ,*kálala,medium,3,kálala,,Kàlãã,kàlàlàqgà,,Kalalã,
epic,JJ,*zarakálala,low,1,zarakálala,,,,dngàràqgàlàlàqgà,,
to graduate/to master,VB,*sérimidérimi,high,6,sérimidérimi,íhérímídérímíqgìmì,ízérímĩ́dérímĩ́mĩ,ízérímĩ́dérímĩ́mĩ,ingérimidérimi,izérimĩdérimĩmĩ,íngérímĩ́dérímĩ́mĩ́lí
to clean,VB,*kázumudarumu,high,5,kázumudarumu,úgàngúmúdàrúmúnù,úgàzúmṹdàrúmṹmṹ,kàzúmṹlú,ugàngumudàrumumu,,úgòngúmṹdòrúmṹmṹ
speech,NN,*tálimidérimi,low,1,tálimidérimi,llímídérímí,,,,,
to reach,VB,*lóradárumu,high,6,lóradárumu,úlóràdàrúmúmú,úlóràdàrúmṹmṹ,úlóràdàrúmṹzúzúbúmṹ,ulóràdàrumumu,ulóradarumũmũ,úlóròdòrúmṹmṹ
instrument,NN,*pálumuma,high,4,pálumuma,pérímímàqngà,,,pàlumima,palumũmã,pòlúmṹmõ̀ngò
introduction,NN,*vózumu,medium,2,vózumu,vvóngúmú,,bvózúmṹgùùng,,,
to hear,VB,*bárimi,high,6,bárimi,íàràmàngímí,íbàrímĩ́mĩ,íbàrímĩ́mĩ,ibàrimimi,ibarimĩmĩ,nggérímĩ
musician,NN,*lámorudóru,high,5,lámorudóru,làmùrúngúúràdórúmàgà,,làmũ̀rúdórúmã,mànàrudóruma,Lamõrudóru,Lòmũ̀rúdórúgòòg
athlete,NN,*pálumudóru,high,6,pálumudóru,pàlúmúdórúmàgà,pàlúmṹdrúmã̀gook,pàlúmṹdórúmã,pàlumunàruma,palumũnãrumãgo,pòlúmṹdórúmõ̀gù
bat,NN,*tórumobálara,low,1,tórumobálara,tórúmùbàlúrúgù,,,,,
stick,NN,*bálara,low,1,bálara,,,ðbàlàràqgà,,,
stadium,NN,*fúramuspára,medium,2,fúramuspára,,,,fúràmuhpàrànu,fúramũsparanũ,
theatre,NN,*tóraluspára,medium,2,tóraluspára,,tràlúspàràlú,,,,tóròlúhpòròlú
actor,NN,*tóralunáruma,high,6,tóralunáruma,tóràlúnàrúmàgà,Tóràlúnã̀rúmã̀gook,tóràlúnã̀rúmã,tóràlunàruma,tóralunãrumãgo,tóròlúnṹ
corn,NN,*máys,high,6,máys,màyh,mã̀ysomã̀ys,mã̀ys,màyhko,Mãys,mõ̀yshórúmṹ
popcorn,NN,*máyspánomu,medium,3,máyspánomu,,mã̀yspànõmṹ,mã̀yspànũ̀mṹ,màyhpànomu,,
script,NN,*tóraluládamóluru,high,5,tóraluládamóluru,tóràlúlàdàmólúrú,tràlúlàdàmṍlúrúlí,Tóràlúlàdàmṍlúrúgù,ngdórumàdórumàgo,,tóròlúlòdòmṍlúrú
to cry,VB,*périma,medium,3,périma,,àbérímã̀zímĩ,àbérímã̀zízímĩ,àpérimàngingimi,,
black-and-white,JJ,*bóħrunuvárumulu,low,1,bóħrunuvárumulu,,,,,,ngbóħrúnṹvòrúmṹlú
scene,NN,*vérizima,high,5,vérizima,ggéríngímàgéríngímàqngà,tàvérízímã̀nĩ,tàgérízímã̀qgà,tàgéringimàgo,bvérizimãge,
hawk,NN,*ħárum,high,6,ħárum,ħħàrúmúshkù,tàħàrúmṹshko,tàħàrúmlú,tàħàrumushko,taħarumũshlu,tòħòrúmṹshlú
crow,NN,*ħòro,high,4,ħòro,,tàħàroko,,tàħàrogo,taħarogo,tòħòrùlú
cave,NN,*milinezeħris,medium,3,milinezeħris,,,ímĩ́línĩ̀zìħríslí,,mĩlinẽzeħrisnĩ,mĩ́línĩ̀ngìħríhnĩ
swan,NN,*éle,high,4,éle,élìlí,élelí,,éle,éleli,
hummingbird,NN,*píbi,high,4,píbi,,Pííbíbííbíge,pííbíbííbíqgì,píbili,,pííbí
weather,NN,*félirivérizi,low,1,félirivérizi,,,,,kélirivérizi,
forest,NN,*kóramudógorughóronu,high,4,kóramudógorughóronu,kóràmúdógùrúghórùnúnú,kóràmṹdógorúghóronṹlú,,kóràmudógorughóronunu,,kóròmṹdógùrúghórùnṹnṹ
feather,NN,*mìli,high,4,mìli,mìlímìlí,mẽlímẽlí,,,mẽlimẽli,mĩ̀límĩ̀lí
difficulty,NN,*vúru,low,0,vúru,,,,,,
holy,JJ,*zóluru,low,0,zóluru,,,,,,
gold,JJ,*málalu,high,5,málalu,,mã̀làlú,mã̀làlú,màlàlu,mãlalumã,mõ̀lòlú
to return,VB,*mérimi,low,1,mérimi,,,,,amẽ́rimĩ,
to fly,VB,*lózumu,high,4,lózumu,úlóngúmú,àlózúmṹgúmṹ,,àlóngumugomo,,ílóngúmṹmṹ
to bloom,VB,*fála,medium,2,fála,,fàlàgemẽ,,,,kèlèmĩ
muse,NN,*véramidágeri,medium,3,véramidágeri,,àvérímã̀mĩ,,,kérimĩli,íngérèdímĩ
far,RB,*pélani,medium,3,pélani,pélàní,,,pélàni,,pélènĩ
son,NN,*nùmi,high,6,nùmi,únàrúmú,nĩ́lí,nĩ,núma,nĩ́mã,nõ̀rúmõ̀gù
father,NN,*tára,low,1,tára,,,,tàràqgà,,
murder,NN,*míraninérizi,low,0,míraninérizi,,,,,,
murderer,NN,*míraninérizina,low,0,míraninérizina,,,,,,
murderous,JJ,*míraninérizili,low,0,míraninérizili,,,,,,
fated,JJ,*sélimili,medium,2,sélimili,hélímílí,,,,sélimĩli,
vital,JJ,*múranulu,low,0,múranulu,,,,,,
Achilles,NNP,*Aghíli,low,0,Aghíli,,,,,,
Peleus,NNP,*Péleewsa,low,0,Péleewsa,,,,,,
Achaea,NNP,*Ākíya,low,0,Ākíya,,,,,,
angry,JJ,*xòrolu,low,0,xòrolu,,,,,,
anger,NN,*xòrona,low,1,xòrona,,,,,,xòrùnõ̀ngò
rage,NN,*xòrolughòron,low,1,xòrolughòron,,,,,xarolugharon,
Hades,NNP,*Hedis,low,0,Hedis,,,,,,
heaven,NN,*vúlunu,low,0,vúlunu,,,,,,
ocean,NN,*séliru,medium,3,séliru,hélírú,,,,séliru,hélírú
fire,NN,*xázunu,medium,3,xázunu,,,Xàzúnṹ,xàngunu,,xòngúnṹ
iron/metal,NN,*tézimi,medium,3,tézimi,,,tézímĩ́lí,téngimili,tézimĩ,
fruit,NN,*vónuma,high,5,vónuma,vvónúmàgà,,bvónṹmã,bvónuma,bvónũmã,vvónṹmõ̀ngò
seed,NN,*vónu,high,4,vónu,vvónúvónú,,bvónṹvónṹ,bvónuvónu,,vvónṹvónṹ
egg,NN,*kúrumu,low,0,kúrumu,,,,,,
to wait,VB,*nérimi,medium,3,nérimi,,,,Nàmihpíràni,inẽ́rimĩmĩ,nẽ̀mĩ́hpíírèngè
to carry,VB,*lórumu,low,1,lórumu,,,,,ulórumũmũ,
to bite,VB,*zálami,high,5,zálami,àngàlàmímí,àzàlàmĩ́mĩ,àzàlàmĩ́mĩ,àngàlàmimi,izalamĩ,
to fear,VB,*mózumu,medium,2,mózumu,,,,umóngumunomu,,òmṍngúmṹmṹ
to smell,VB,*nízami,high,4,nízami,,ínĩ́zímĩ́mĩ,ínĩ́ĩ́zàmĩ́mĩ,níngàmi,inĩ́zamĩmĩ,
mime,NN,*mimísmi,medium,3,mimísmi,Mímííhmíqgììd,,,mimíhmiqge,,mĩ́mĩ́ĩ́hmĩ́gì
weapon,NN,*tórumodógoru,medium,3,tórumodógoru,,,,tórumodógoru,ulórumũmũ,tórúmũ̀dógùrú
cloth,NN,*lúmuraluréza,low,1,lúmuraluréza,,mṹṹrànṹrézãã,,,,
truth,NN,*xélirini,medium,3,xélirini,xélíríní,,,xéliri,xélirinĩ,
message,NN,*tálimirézami,medium,2,tálimirézami,llímíréngàmí,,tàlímĩ́rézàmĩ,,,
enemy,NN,*mósumagáru,low,1,mósumagáru,,,,,mṍzumãgarugo,
map,NN,*mágedéreni,low,1,mágedéreni,,,,,mãgedérenĩ,
hospital,NN,*múranuspára,medium,3,múranuspára,,,Mṹṹrànṹspàràzúúràdórúmã̀gùùng,Múrànuhpàràngúràdórumàgo,Mṹranũsparazúradórumãgo,
wealth,NN,*málalunu,medium,2,málalunu,màlàlúnúlú,mã̀làlúnṹnṹlú,,,,
history,NN,*sólunuzórumu,medium,3,sólunuzórumu,hólúnúngórúmúlú,,sólúnṹzórúmṹ,hírinili,,
evidence,NN,*xéliridéreni,medium,2,xéliridéreni,,,xélírítérìnĩ,xéliridéreni,,
theory,NN,*véramizélima,low,1,véramizélima,,,,,,vvérèmĩ́ngélímẽ̀ngè
pattern,NN,*rénavérizi,low,1,rénavérizi,rénàgéríngí,,,,,
conflict,NN,*sárumuzórumu,low,1,sárumuzórumu,,,sàrúmṹzórúmṹ,,,
success,NN,*dárumuvólumu,high,4,dárumuvólumu,,þàdàrúmṹvólúmṹ,ðdàrúmṹvólúmṹ,ngdàrumuvólumu,,ngdòrúmṹvólúmṹ
